iter	Passed	Remaining
906	5480	54942
907	5486	54936
908	5492	54928
909	5498	54922
910	5504	54914
911	5510	54914
912	5517	54913
913	5524	54913
914	5529	54906
915	5535	54897
916	5541	54888
917	5546	54873
918	5552	54866
919	5557	54854
920	5563	54840
921	5569	54836
922	5574	54823
923	5580	54817
924	5586	54805
925	5591	54795
926	5597	54788
927	5602	54772
928	5608	54767
929	5615	54761
930	5620	54749
931	5626	54739
932	5631	54728
933	5637	54722
934	5643	54715
935	5649	54706
936	5655	54697
937	5661	54693
938	5666	54681
939	5672	54675
940	5678	54665
941	5684	54656
942	5689	54645
943	5695	54638
944	5701	54628
945	5706	54617
946	5712	54607
947	5717	54595
948	5723	54588
949	5729	54576
950	5734	54565
951	5740	54554
952	5745	54543
953	5751	54537
954	5757	54527
955	5762	54516
956	5768	54510
957	5774	54501
958	5779	54490
959	5785	54482
960	5791	54473
961	5797	54466
962	5802	54456
963	5808	54443
964	5813	54429
965	5819	54420
966	5824	54411
967	5830	54402
968	5835	54390
969	5841	54380
970	5847	54376
971	5853	54369
972	5859	54362
973	5866	54360
974	5872	54358
975	5878	54353
976	5884	54344
977	5890	54340
978	5896	54331
979	5902	54327
980	5908	54324
981	5914	54315
982	5920	54304
983	5925	54295
984	5931	54287
985	5937	54284
986	5943	54275
987	5949	54265
988	5955	54259
989	5961	54252
990	5966	54243
991	5973	54239
992	5978	54229
993	5983	54216
994	5989	54204
995	5994	54193
996	6000	54187
997	6008	54192
998	6014	54193
999	6020	54188
1000	6026	54177
1001	6032	54172
1002	6038	54167
1003	6044	54160
1004	6050	54153
1005	6056	54144
1006	6062	54140
1007	6067	54127
1008	6073	54115
1009	6078	54107
1010	6084	54096
1011	6089	54083
1012	6095	54074
1013	6100	54059
1014	6106	54052
1015	6111	54042
1016	6117	54030
1017	6122	54019
1018	6127	54008
1019	6133	53996
1020	6139	53991
1021	6145	53987
1022	6151	53977
1023	6156	53968
1024	6162	53958
1025	6167	53946
1026	6173	53941
1027	6179	53928
1028	6184	53919
1029	6190	53912
1030	6196	53909
1031	6202	53901
1032	6208	53894
1033	6214	53882
1034	6220	53878
1035	6226	53875
1036	6232	53872
1037	6239	53867
1038	6244	53859
1039	6251	53859
1040	6257	53856
1041	6264	53851
1042	6270	53851
1043	6276	53843
1044	6282	53836
1045	6288	53831
1046	6293	53819
1047	6299	53806
1048	6304	53796
1049	6310	53785
1050	6315	53775
1051	6321	53766
1052	6326	53757
1053	6332	53748
1054	6338	53741
1055	6343	53728
1056	6349	53719
1057	6355	53712
1058	6360	53704
1059	6366	53698
1060	6372	53689
1061	6378	53683
1062	6384	53677
1063	6391	53677
1064	6397	53676
1065	6404	53672
1066	6409	53663
1067	6416	53662
1068	6422	53655
1069	6428	53651
1070	6435	53652
1071	6442	53652
1072	6447	53644
1073	6454	53640
1074	6460	53636
1075	6466	53628
1076	6472	53622
1077	6478	53615
1078	6484	53611
1079	6489	53602
1080	6496	53600
1081	6503	53599
1082	6509	53592
1083	6514	53586
1084	6520	53577
1085	6526	53568
1086	6532	53562
1087	6538	53555
1088	6543	53545
1089	6549	53536
1090	6554	53524
1091	6560	53514
1092	6565	53505
1093	6571	53496
1094	6577	53487
1095	6582	53479
1096	6588	53471
1097	6594	53462
1098	6600	53455
1099	6606	53448
1100	6611	53439
1101	6617	53433
1102	6623	53426
1103	6629	53416
1104	6634	53409
1105	6640	53402
1106	6646	53392
1107	6652	53386
1108	6657	53376
1109	6663	53367
1110	6668	53356
1111	6674	53347
1112	6679	53336
1113	6686	53334
1114	6691	53323
1115	6697	53315
1116	6702	53304
1117	6709	53302
1118	6715	53295
1119	6721	53292
1120	6727	53285
1121	6733	53279
1122	6739	53277
1123	6746	53272
1124	6751	53261
1125	6757	53256
1126	6763	53250
1127	6769	53245
1128	6775	53238
1129	6780	53227
1130	6786	53220
1131	6792	53209
1132	6797	53200
1133	6804	53198
1134	6810	53191
